	level_0	index	doi	doi_type	title	abstract	citedby_count	doi_url	abstract_keys_count	abstract_type	license_x	license_y
0	0	0	10.3390/su152215683	journal_article	Underpinning Quality Assurance: Identifying Core Testing Strategies for Multiple Layers of Internet-of-Things-Based Applications	{'language': None, 'text': 'The Internet of Things (IoT) constitutes a digitally integrated network of intelligent devices equipped with sensors, software, and communication capabilities, facilitating data exchange among a multitude of digital systems via the Internet. Despite its pivotal role in the software development life-cycle (SDLC) for ensuring software quality in terms of both functional and non-functional aspects, testing within this intricate software–hardware ecosystem has been somewhat overlooked. To address this, various testing techniques are applied for real-time minimization of failure rates in IoT applications. However, the execution of a comprehensive test suite for specific IoT software remains a complex undertaking. This paper proposes a holistic framework aimed at aiding quality assurance engineers in delineating essential testing methods across different testing levels within the IoT. This delineation is crucial for effective quality assurance, ultimately reducing failure rates in real-time scenarios. Furthermore, the paper offers a mapping of these identified tests to each layer within the layered framework of the IoT. This comprehensive approach seeks to enhance the reliability and performance of IoT-based applications.'}	1	https://www.mdpi.com/2071-1050/15/22/15683	2	dict	https://creativecommons.org/licenses/by/4.0/	https://creativecommons.org/licenses/by/4.0/
1	1	1	10.25139/jkp.v6i6.5294	journal_article	Proses Pengambilan Keputusan Adopsi Inovasi Aplikasi Gramedia Digital	{'language': None, 'text': 'This study aims to determine how the process of consumers adopting Gramedia Digital application innovations and consumer behavior in making decisions about these innovations.\r\nThe research is descriptive qualitative. The research subjects were 10 consumers of Gramedia Digital application users who were interviewed in depth. The results of the interview will be examined through the concept of diffusion and adoption of innovation as well as a consumer decision-making model which includes three stages, the input, process, and output stages. The results obtained consumers decide to use Gramedia Digital innovation based on five stages, awareness, interest, evaluation, trial, and adoption. The decision-making stage, the innovation adoption stage is carried out by consumers, namely accepting and using Gramedia Digital innovation products because they provide satisfaction to consumers. Consumers do not feel any cognitive dissonance after purchase, instead they make repeat purchases. Satisfied customers will make e-WoM, repeat purchases, and recommend innovative products, both digital books sold by Gramedia Digital and Gramedia Digital applications.\r\n\xa0\r\nPenelitian ini bertujuan untuk mengetahui bagaimana proses konsumen mengadopsi inovasi aplikasi Gramedia Digital serta perilaku konsumen dalam pengambilan keputusan terhadap inovasi tersebut.\r\nPenelitian bersifat kualitatif deskriptif. Subjek penelitian adalah 10 konsumen pengguna aplikasi Gramedia Digital yang diwawancara secara mendalam. Hasil wawancara akan diteliti melalui konsep difusi dan adopsi inovasi serta model pengambilan keputusan konsumen yang meliputi tiga tahapan yaitu, tahap masukkan (input), proses, dan keluaran (output). Hasil yang didapat Konsumen memutuskan untuk menggunakan inovasi Gramedia Digital berdasarkan pada lima tahapan, yaitu awareness, interest, evaluasi, trial, dan adopsi. Tahap pengambilan keputusan, tahap adopsi inovasi dilakukan konsumen, yaitu menerima dan menggunakan produk inovasi Gramedia Digital karena memberikan kepuasan pada konsumen. Konsumen tidak merasakan adanya disonansi kognitif setelah pembelian justru melakukan pembelian ulang. Pelanggan yang puas akan melakukan e-WoM, pembelian berulang, dan merekomendasikan produk inovasi baik buku digital yang dijual Gramedia Digital maupun aplikasi Gramedia Digital.'}	0	https://ejournal.unitomo.ac.id/index.php/jkp/article/view/5294	2	dict	no license	no license
2	2	2	10.1093/eurheartjsupp/suac121.504	journal_article	1134 IN-HOSPITAL ARRHYTHMIC BURDEN REDUCTION IN DIABETIC PATIENTS WITH ACUTE MYOCARDIAL INFARCTION TREATED WITH SGLT2-INHIBITORS: INSIGHTS FROM THE SGLT2-I AMI PROTECT STUDY	{'language': None, 'text': None}	1	https://academic.oup.com/eurheartjsupp/article/doi/10.1093/eurheartjsupp/suac121.504/6911904	2	dict	https://academic.oup.com/pages/standard-publication-reuse-rights	https://academic.oup.com/pages/standard-publication-reuse-rights
3	3	3	10.3390/plants12223844	journal_article	Applications and Market of Micro-Organism-Based and Plant-Based Inputs in Brazilian Agriculture	{'language': None, 'text': 'The use of plant-based and micro-organism-based biological inputs is a sustainable agricultural practice. It promotes a suitable and better utilization of non-renewable resources in the environment. The benefits of using micro-organisms are associated with direct and indirect mechanisms, mainly related to improvements in the absorption and availability of nutrients, resulting in a consequent impact on plant growth. The main benefits of using biochemical pesticides are the promotion of sustainability and the management of resistance to pests and diseases. Although the use of micro-organisms and botanical metabolites is a promising agricultural alternative, they are still primarily concentrated in grain crops. There is a huge opportunity to expand the plant-based and micro-organism-based biological inputs used in agriculture due to the wide range of mechanisms of action of those products. At a global level, several terminologies have been adopted to characterize biological inputs, but many terms used conflict with Brazilian legislation. This review will clarify the classes of biological inputs existing in Brazil as well as present the application and evolution of the market for microbiological and plant-based inputs.'}	0	https://www.mdpi.com/2223-7747/12/22/3844	2	dict	https://creativecommons.org/licenses/by/4.0/	https://creativecommons.org/licenses/by/4.0/
4	4	4	10.24911/ijmdc.51-1696257618	journal_article	Comparative study of pharmacokinetics, pharmacodynamics and cost-effectiveness between first-line Angiotensin Converting Enzyme inhibitors in Saudi Arabia during 2023	{'language': None, 'text': 'Angiotensin-converting enzyme (ACE) inhibitors were discovered in 1980 and since then they are used in many conditions like stable chronic heart failure, myocardial infarction (MI) and diabetic nephropathy and developed to become a recommended first-line therapy for hypertension (HTN), yet very few comparative studies and head-to-head trials exist to date. Hence, this study aimed to clarify ACE inhibitors pharmacokinetics and pharmacodynamics differences, assess the cost-effectiveness of ACE inhibitors, elaborate safety and side effects of ACE inhibitors, discuss which ACE inhibitor is favorable for variety of cases, and to promote more comparison studies and head-to-head trials between ACE inhibitors. This review article used published studies of ACE inhibitors properties and extracted data from Saudi Food and Drug Administration. It was found that enalapril has the longest duration of action of all ACE inhibitors, lasting 35 to 38 hours. While perindopril has the highest bioavailability, 65-75%, compared to other ACE inhibitors. The price variance of ACE inhibitors was found as lisinopril with the lowest price (18.7–37.45 Saudi Riyals SAR) and zofenopril with the highest price ($192). Further, zofenopril, trandolapril, and quinapril are the medications that are unavailable in Saudi Arabia. Moreover, angioedema is one of the most dangerous side effects of ACE inhibitors, along with hyperkalemia, kidney issues, headaches, and cough. However, the side effects of all these drugs are similar. Hence, it was concluded that the future of ACE inhibitors might also involve improved safety profiles through the development of novel ACE inhibitors with fewer side effects or better tolerability.'}	0	https://www.ejmanager.com/fulltextpdf.php?mno=171751	2	dict	no license	no license
5	5	5	10.30574/wjarr.2024.21.1.0037	journal_article	How COVID-19 and malaria are strikingly alike: A short review	{'language': 'en', 'text': 'COVID-19 is a severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) that began in Wuhan, China, in late 2019 and has since spread globally, disrupting efforts to contain it. In Africa, the COVID-19 infection may be influenced by malaria coinfection. Global health is severely hampered by the co-infection of COVID-19 and malaria, especially in areas where both illnesses are endemic. Studies that have already been conducted indicate that those who have co-infection may have more severe symptoms and a higher risk of dying, even though there is little information on the prevalence and consequences of co-infection. More studies and focused initiatives are required to address this issue because of the difficulties in diagnosing the two diseases and the possibility that co-infection would worsen already existing health inequities. Methodology: This review follows the guidelines of PRISMA. In this article, we reviewed published articles from 2019 to May 2023 on COVID-19 and malaria co-infection that might influence the ontology of COVID-19. Results: Sub-Saharan African countries have fewer COVID-19 cases due to factors like young populations, warm weather, lack of proper diagnosis, malaria history, and antimalarial drug use. Population genetics also influence COVID-19 dynamics. Clinical and pathological similarities between malaria and COVID-19 have confused diagnosis and treatment in Africa. Conclusion: Understanding the dynamics of COVID-19 infection in Sub-Saharan Africa and how another endemic disease like malaria shapes it can provide insights into how to tailor successful diagnostic, intervention, and control plans that lower disease morbidity and mortality. Coinfection with COVID-19 and malaria is related to expanded all-cause in-hospital mortality compared to mono-infection with serious acute respiratory disorder coronavirus 2 (SARS-CoV-2).'}	0	https://wjarr.com/content/how-covid-19-and-malaria-are-strikingly-alike-short-review	2	dict	no license	no license
6	6	6	10.1088/1674-1056/ac16cd	journal_article	Landau damping of electrons with bouncing motion in a radio-frequency plasma*	{'language': None, 'text': {'jats:italic': ['nω', 'n'], 'jats:sub': 'b', '#text': 'One-dimensional particle simulations have been conducted to study the interaction between a radio-frequency electrostatic wave and electrons with bouncing motion. It is shown that bounce resonance heating can occur at the first few harmonics of the bounce frequency (\n                    \n                    \n                    ,\n                    \n                    = 1,2,3,…). In the parameter regimes in which bounce resonance overlaps with Landau resonance, the higher harmonic bounce resonance may accelerate electrons at the velocity much lower than the wave phase velocity to Landau resonance region, enhancing Landau damping of the wave. Meanwhile, Landau resonance can increase the number of electrons in the lower harmonic bounce resonance region. Thus electrons can be efficiently heated. The result might be applicable for collisionless electron heating in low-temperature plasma discharges.'}}	0	no resolution url	2	dict	https://iopscience.iop.org/page/copyright	https://iopscience.iop.org/page/copyright
7	7	7	10.46502/issn.1856-7576/2022.16.03.4	journal_article	Information technologies as a means of overcoming social-cultural barriers in the process of international students training	{'language': None, 'text': 'The intensification of the development of digital technologies and their introduction into educational activities has necessitated the use of digital technologies in the educational process of higher educational institutions in order to overcome language barriers in the provision of educational services to foreign students. The purpose of the research lies in identifying the main problematic aspects and prospects for the application of digitalization as a means of overcoming language barriers in the education of foreign students. The methodological base of the academic paper consists of the following methods of scientific research, namely: the method of theoretical analysis and synthesis, analysis and scientific abstraction, comparison and analogy, grouping and cluster analysis based on the k-means method, generalization and systematization. The results of the conducted research have made it possible to establish that overcoming language barriers in the education of foreign students significantly depends on the level of digitalization of the society and the system of higher education. Intensification of the use of digitalization as a means of overcoming language barriers in teaching foreign students will make it possible to minimize the level of language barriers and ensure the improvement of the quality of the educational process in the online environment through applying digital technologies, as well as create favourable conditions for conducting a simple and understandable language for foreign students.'}	0	https://revistaeduweb.org/check/16-3/4-55-66.pdf	2	dict	https://creativecommons.org/licenses/by/4.0/	https://creativecommons.org/licenses/by/4.0/
8	8	8	10.1039/d3nr03946c	journal_article	An innovative method for controlled synthesis of bicomponent monolayer films obtained by reduction of diazonium	[{'language': None, 'text': None}, {'language': None, 'text': None}]	1	https://xlink.rsc.org/?DOI=D3NR03946C	0	list	no license	no license
9	9	9	10.5913/pala.13.2020.a012	journal_article	De illa quae dicitur C . Cornelii Galli papyro in Castro Prima inventa (P.Qaṣr iBrîm 78-3-11, col . I, vv . 2–5)	{'language': None, 'text': 'Several critical observations and notes to the four verses, which have been preserved in full on that papyrus, as well as remarks to the Oxford commentary. Lyne’s conjecture to verse 2 is to be accepted. These verses do look ancient, but do not look to be composed by a good poet (let alone Cornelius Gallus).'}	0	https://lockwoodonlinejournals.com/index.php/pala/article/view/2112	2	dict	no license	no license
