		DOI
journal-article	0	10.3390/ma14237192
journal-article	1	10.1155/2022/7746374
journal-article	2	10.1093/geroni/igaa057.1126
journal-article	3	10.34020/1993-4386-2023-3-148-153
journal-article	4	10.1126/sciadv.abh0496
journal-article	5	10.1093/qjmed/hcae175.462
journal-article	6	10.30742/melekitjournal.v10i2.340
journal-article	7	10.5210/spir.v2021i0.12143
journal-article	8	10.26490/uncp.sl.2020.4.2.677
journal-article	9	10.3389/fbinf.2022.931583
proceedings-article	0	10.47501/978-5-6044060-2-1.244-247
proceedings-article	1	10.4995/icomos2019.2020.11748
proceedings-article	2	10.5753/sbcas.2022.222530
proceedings-article	3	10.1364/oct.2024.cm3e.3
proceedings-article	4	10.48397/arriab.2022.22.xxii.066
proceedings-article	5	10.56177/11icmie2023.57
proceedings-article	6	10.23947/interagro.2020.1.310-312
proceedings-article	7	10.1115/gt2024-128901
proceedings-article	8	10.5327/1980-5764.rpda056
proceedings-article	9	10.1115/gt2020-14302
book-chapter	0	10.1075/clcc.17.10kum
book-chapter	1	10.29327/5469322.1-5
book-chapter	2	10.1215/9781478027485-003
book-chapter	3	10.4018/978-1-6684-3710-0.ch035
book-chapter	4	10.4018/978-1-6684-3542-7.ch030
book-chapter	5	10.61728/ae20241131
book-chapter	6	10.1093/law/9780198849155.003.0065
book-chapter	7	10.3233/atde220303
book-chapter	8	10.5744/florida/9781683404064.003.0011
book-chapter	9	10.1063/9780735425514_023
