	oa_doi	oa_type	oa_type_crossref	oa_is_paratext	oa_title	oa_abstract	oa_language	oa_cited_by_count	oa_primary_location_pdf_url	oa_version	oa_license	oa_id
0	10.1521/soco.2021.39.5.543	article	journal-article	False	The Limits of Defaults: The Influence of Decision Time on Default Effects	The stability of default effects to contextual features is critical to their use in policy. In this paper, decision time was investigated as a contextual factor that may pose limits on the efficacy of defaults. Consistent with the hypothesis that time constraints may increase reliance on contextual cues, four experiments, including a preregistered one of a nationally representative sample, and a meta-analysis that included four additional pilot experiments, indicated that short decision times increased the advantage of action defaults (i.e., the default option automatically endorsed the desired behavior) and that the default advantage was trivial or nonexistent when decision times were longer. These effects replicated for naturalistic as well as externally induced decision times and were present even when participants were unaware that time was limited. This research has critical implications for psychological science and allied disciplines concerned with policy in the domains of public health, finance and economics, marketing, and environmental sciences.	en	4	NA	NA	NA	https://openalex.org/W4206395497
1	10.1097/md.0000000000041851	article	journal-article	False	Comparative analysis of demographic, clinical, biochemical, and predictors of mortality in COVID-19 and NON-COVID-19 ARDS patients: A retrospective cohort study	The COVID-19 pandemic has brought a significant increase in the incidence of acute respiratory distress syndrome (ARDS). This retrospective study aims to compare the differences in demographic, clinical, and biochemical variables and predictive factors in 2 situations of ARDS cause (COVID-19 vs NON-COVID-19) in patients admitted to the intensive care unit. The Mann-Whitney rank-sum test was performed for quantitative variables, and Fisher exact test for qualitative variables. 115 patients with ARDS were enrolled (53 patients with COVID-19 ARDS and 62 NON-COVID-19 ARDS). The COVID-19 ARDS group consisted of 33 male patients (66.2%), whereas the NON-COVID-19 ARDS group had 25 male patients (40.3%) (P = .0248). The median and interquartile age difference of the COVID-19 ARDS group was 64.0 [52.0-69.5], and non-COVID-19 ARDS was 49.0 [34.0-63.0] (P = .0011). Body mass index, simplified acute physiology score, sequential organ failure assessment, and intensive care unit length of stay, with P-values of .0061, .0002, .0003, and <.0001, respectively (COVID-19 vs NON-COVID-19 ARDS). Diabetes, arterial hypertension, venous thrombosis, and chronic obstructive pulmonary disease had values of <.0001, .0234, .0358, and .0001, respectively. On the other hand, the NON-COVID-19 ARDS group had a greater need for dialysis (P = .0109). The stepwise logistic regression showed that relevant clinical, and demographic characteristics associated with ARDS due to COVID-19, such as male gender, diabetes, chronic obstructive pulmonary disease, and body mass index, were independent prognostic factors of severity in patients with COVID-19 ARDS, compared to NON-COVID-19 ARDS. The overall mortality rate was 62.9% for COVID-19 ARDS and 77.4% for the non-COVID-19 ARDS group (P = .2950). Ventilatory parameters of COVID-19 ARDS and NON-COVID-19 ARDS were similar.	en	0	NA	publishedVersion	cc-by-nc	https://openalex.org/W4408845899
2	10.32996/jmcie.2021.2.2.10	article	journal-article	False	Analysis and Construction Process of a Multi-Storey Steel Office Building	This research paper explains with a certain amount of detail the whole process involved in the design of a Multi-storied steel construction, from the preliminary architectural design to the final structural detailed drawings. As specified in the project description, structural steel has been quite popular for the past 30 years, it’s been fruitful to experience the efficiency of the structural steel properties during the design process and achievement. To accomplish this design, we mainly used licensed software by Autodesk, including Revit Structures for the architectural design and Robot Structural Analysis Professional for the structural analysis and design. The analysis shown that Steel's ductility allows it to withstand significant deformation before breaking. Steel-framed buildings' ductility allows them to disperse energy from earthquake-induced building movement, reducing structural damage. Hence, it would be a sustainable construction process when adequate structural steel in the building especially for the multi-storied building cases.	en	0	NA	NA	NA	https://openalex.org/W4405753934
3	10.12957/cdf.2025.89476	article	journal-article	False	Reestruturação urbana em Campos dos Goytacazes	O município de Campos dos Goytacazes, após passar pela reestruturação produtiva nas últimas décadas, tem vivenciado atualmente o processo de reestruturação urbana, entre outros fatores, devido às mudanças nas atividades econômicas predominantes no município que têm promovido migração e êxodo rural. Neste contexto, o bairro Parque Rodoviária, após incremento de infraestrutura e setor de serviços, tem se tornado alvo de investimentos na construção de condomínios fechados de alto padrão que vem sendo construídos no entorno da maior favela do município, fato que tem gerado conflitos e ameaçado a permanência da população mais pobre que, por meio de ações estatais, vem sendo paulatinamente removida para bairros afastados e precários, configurando um quadro de segregação socioespacial.	pt	0	NA	publishedVersion	cc-by	https://openalex.org/W4409528227
4	10.51845/36.4.15	article	journal-article	False	Getting German Colonialism Right	Aldric Hama looks at Bruce Gilley’s In Defense of German Colonialism: And How its Critics Empowered Nazis, Communists, and the Enemies of the West, writing that Gilley does another fine job of laying out the advantages for those subject to European colonial rule, this time specifically to German colonial rule. Hama sees the need for more research on the largely neglected field of colonialism in the Far East, especially on the role of imperial Japan.	en	0	NA	NA	NA	https://openalex.org/W4402478711
5	10.22214/ijraset.2023.49870	article	journal-article	False	Securefund Crowdfunding Using Blockchain	Abstract: The rise of crowdfunding as an alternative way of raising funds has revolutionized the way entrepreneurs, investors, and businesses interact. However, crowdfunding platforms are plagued with various challenges such as trust issues, lack of transparency, and intermediary fees. Blockchain technology has emerged as a potential solution to these problems, providing a decentralized and transparent platform that eliminates intermediaries, increases trust and reduces transaction costs. This research paper aims to explore the concept of crowdfunding using blockchain, its benefits, and the challenges that come with its implementation. The study will focus on the impact of blockchain on crowdfunding, the various blockchain-based crowdfunding models, and their effectiveness. The research will also examine the regulatory framework for blockchain-based crowdfunding and its impact on the growth of the industry. The findings of this study will provide valuable insights into the potential of blockchain technology to transform the crowdfunding industry and open up new avenues for entrepreneurs and investors alike.	en	4	NA	publishedVersion	NA	https://openalex.org/W4361272349
6	10.15407/internalmed2020.02b.029	article	journal-article	False	Ilya Mechnikov — the founder of Gerontology	In 2020, we celebrate the 175th anniversary of the founder of gerontology, a foundational figure of modern immunology, aging and longevity science, and of modern medicine generally — Ilya Mechnikov (May 15, 1845 — July 15, 1916). For the proponents of healthy longevity and advocates of aging research. Mechnikov may be well credited as “the father” of gerontology — the disciplinary term he coined. Mechnikov was either a direct originator or one of the primary researchers for a variety of key aging-ameliorating and life-extending methods, experiments and research programs that are still being followed today. In view of the immense significance of degenerative aging processes for the emergence of virtually all diseases, both communicable and noncommunicable, and in view of the accelerating development of potential means to intervene into and ameliorate these processes for the sake of achieving healthy longevity, Mechnikov’s pioneering contribution to this field assumes an ever greater global significance and must be remembered and honored.	en	0	http://www.internalmed-journal.in.ua/wp-content/uploads/2020/12/Журнал_3_2020_С_29-30.pdf	publishedVersion	NA	https://openalex.org/W3112664047
7	10.3390/buildings12060818	article	journal-article	False	On the Interaction between the Depth and Elevation of External Shading Devices in Tropical Daylit Classrooms with Symmetrical Bilateral Openings	External shading devices are an important design feature in tropical buildings, particularly for climate mitigation. However, the interaction between the depth and elevation of the shading devices and their impact on indoor daylight performance is not fully understood, especially for the case of tropical buildings with bilateral openings. This study therefore aims to evaluate the design possibilities of external shading devices with various depth and elevation in terms of daylight performance for the case of tropical school classrooms with bilateral openings in an Indonesian city. A computational simulation method using Radiance is utilized to perform annual daylight metrics calculations. Geometry, material, and simulation settings are prepared using the Ladybug tool under Grasshopper for four building orientations, namely 0°, 45°, 90°, and 135°. Sensitivity and uncertainty analyses are conducted for all design combinations. The results show that the interaction between a shading device’s depth and elevation is unique, depending on the building orientation and the availability of direct sunlight. In general, shading elevation is more influential, compared to shading depth, on the observed daylight metrics and the combined objective functions at all orientations.	en	13	https://www.mdpi.com/2075-5309/12/6/818/pdf?version=1655117001	publishedVersion	cc-by	https://openalex.org/W4282836451
8	10.1186/s13052-024-01782-y	article	journal-article	False	Triheptanoin in patients with long-chain fatty acid oxidation disorders: clinical experience in Italy	Long-chain fatty acid oxidation disorders (LC-FAOD) are rare and potentially life-threatening diseases that cause deficient energy production and accumulation of toxic metabolites. Despite dietary management, adherence to maximum fasting guidelines, restricted long-chain triglyceride intake and supplementation with medium-chain triglyceride (MCT) oil (current standard of care), most patients experience recurrent decompensation episodes that can require hospitalisation. Herein, we analysed the effectiveness and safety of triheptanoin (a highly purified, synthetic medium odd-chain triglyceride) treatment in a cohort of Italian patients with LC-FAOD.	en	3	NA	publishedVersion	cc-by	https://openalex.org/W4403187286
9	10.16899/jcm.1241809	article	journal-article	False	Erken Evre Serviks Kanserinde Sedlis Kriterleri Gözönünde Bulundurularak Uygulanan Adjuvant Radyoterapi Sonuçları	Background/Aims:&#x0D; Investigation of the efficacy of adjuvant RT in cervical cancer stage I-IIA according to FIGO (2018) in terms of risk factors and oncologic outcomes.&#x0D; Methods: &#x0D; The study included 113 patients with FIGO stage I-IIA. Patients who received adjuvant external pelvic RT and/or intracavitary brachytherapy (ICBT) after surgery retrospectively analyzed for demographic data , histology, grade, tumor size , stage, LVSI, stromal invasion depth, type of lymphadenectomy, number of dissected pelvic / paraaortic lymph nodes , surgical margin, adjuvant therapies, local relapse, distant failure, overall survival, and progression-free survival.&#x0D; Results:&#x0D; After a median follow-up of 160 months, local recurrence was observed in 3 patients, distant metastasis in 6 patients and all-cause death in 15 patients. It was observed that only SID had a statistically significant effect on overall survival among the Sedlis criteria (p=0.04). The ten-year DFS and OS rates were 95% and 94%, respectively .&#x0D; Conclusions:&#x0D; Promising oncological results were obtained in early stage cervical cancer with adjuvant RT based on Sedlis criteria.	en	0	https://dergipark.org.tr/en/download/article-file/2915104	publishedVersion	cc-by-nc-nd	https://openalex.org/W4378638244
