	index	doi	doi_type	title	abstract	citedby_count	doi_url	abstract_keys_count	abstract_type	license
0	0	10.1093/ofid/ofae631.2509	journal_article	P-2358. Viral etiologies of bronchiolitis, pneumonia, and croup in children less than 5 years old, New Vaccine Surveillance Network, 2016-2022	{'language': None, 'text': None}	0	https://academic.oup.com/ofid/article/doi/10.1093/ofid/ofae631.2509/7987780	2	dict	https://creativecommons.org/licenses/by/4.0/
1	1	10.31000/jiki.v4i2.3101	journal_article	Cupping Therapy Improves Quality of Life in Physical Health Aspects of Patients with Hypertension	"{'language': None, 'text': ""Hypertension is the cause of various serious diseases and complications. Symptoms that are often experienced by people with hypertension are headaches, fatigue, chest pain, difficulty sleeping, irritability and irritability even to the point of not being able to work properly and unable to move. These symptoms can affect and even cut \xa0quality of life of people with hypertension, especially \xa0disruption of physical health aspects. One of the complementary therapies that are widely used by society today is cupping therapy. The purpose of this study was to find the effect of cupping therapy on\xa0\xa0quality of life of the physical health aspects of hypertension sufferers at\xa0Posbindu\xa0Wijaya\xa0Kusuma\xa0in the Special Region of\xa0Yogyakarta. This research design is an experimental design with a quasi-random type of experiment (randomized pretest-post test with control group design). The sampling technique used simple random technique to find 16 control groups and 16 experimental groups. Data analysis using\xa0Wilcoxon\xa0and Mann-Whitney. There was a significant difference \xa0quality of life of the respondents' physical health aspects after being given cupping therapy between the intervention group and the control group with a p-value of 0.001 <0.05. There is an effect of cupping therapy on \xa0quality of life aspects of the physical health of hypertensive patients. This research\xa0expected \xa0an alternative for hypertensive patients to improve their quality of life, namely by routinely doing cupping therapy once a month.Keywords: Cupping; Quality of Life; Physical Health; Hypertensionertension.""}"	0	https://jurnal.umt.ac.id/index.php/jik/article/view/3101	2	dict	no license
2	2	10.1055/a-1890-5878	journal_article	Whipple’s Disease – delay of diagnosis by immunosuppressive therapy; a case-series report	"{'language': 'en', 'text': [""Background Risk factors for the development of Whipple's disease\n      (WD) are largely unknown. Case reports, case series, and reviews suggest immunosuppressive\n      therapy as a potential triggering factor in WD. The low incidence of WD and non-specific\n      symptoms at disease onset contribute to the frequent delay of diagnosis. We describe our\n      centre´s experience on differences in the clinical presentation of patients with classic WD\n      compared to patients with “masked” WD because of immunosuppressive therapy."", 'Methods In this retrospective case series, 8 patients were\n      included. Diagnosis of WD was confirmed by histological staining of duodenal biopsies\n      revealing T. whipplei within foamy macrophages or by PCR- based\n      detection of specific T. whipplei DNA. Clinical manifestations,\n      laboratory data, and medication have been recorded over a period of 19 years. Subgroup\n      analyses for the two different variants of WD were performed.', 'Results Seven of eight patients were initially diagnosed with\n      rheumatic disease (polyarthritis, polymyalgia rheumatica). One patient was correctly diagnosed\n      at the beginning without any medication. Three patients were on immunosuppressive therapy and\n      being treated with disease-modifying drugs (DMARDs), three patients were receiving low-dose\n      cortisone in combination with non-steroidal anti- inflammatory drugs (NSAIDs), and one patient\n      was receiving NSAIDs only. All patients presented with increased parameters of inflammation\n      and with clinical and/or laboratory signs of a malabsorption. From the onset of first\n      symptoms, diagnosis of WD took a median of 36 months (range: 6–120 months). The time between\n      onset of joint complaints and onset of gastrointestinal symptoms was 36 months (range: 0–117\n      months). WD patients receiving immunosuppressive therapy, compared to those not receiving it,\n      had a longer duration of gastrointestinal symptoms (12 months versus 6 months) and reported a\n      greater weight loss (20,3 kg versus 7,8 kg) up to diagnosis of WD.', 'Conclusions Immunosuppressive drugs may delay the diagnosis of WD\n      and prolong the course of T. whipplei infection with deterioration\n      of clinical symptoms. If a patient with rheumatic complaints develops gastrointestinal\n      symptoms, diagnosis of WD should be considered and proper diagnostic investigation carried\n      out.']}"	1	http://www.thieme-connect.de/DOI/DOI?10.1055/a-1890-5878	2	dict	no license
3	3	10.55367/ivhy6689	journal_article	Administration of Justice in Medical Disputes Including a Competition of Legal Basis : Analysis of the Decisions of the Supreme Court of Georgia	{'language': 'ka', 'text': 'სამედიცინო მომსახურების გამწევი პაციენტს სამედიცინო მომსახურებას უწევს ძირითადად სახელშეკრულებო ურთიერთობის საფუძველზე. თუ სამედიცინო მომსახურების გამწევი არაჯეროვანი სამედიცინო მომსახურების შედეგად ზიანს აყენებს მასთან სახელშეკრულებო ურთიერთობაში მყოფი პაციენტის ჯანმრთელობას, ის ერთდროულად არღვევს, როგორც სახელშეკრულებო ვალდებულებას ჯეროვანი შესრულების შესახებ, ასევე დელიქტური ნორმებით განსაზღვრულ ვალდებულებას - არ მიაყენოს ზიანი პირის ჯანმრთელობას. შესაბამისად, სამედიცინო მომსახურების გამწევის პასუხისმგებლობასთან დაკავშირებული საკითხები, თუკი ის პაციენტთან იმყოფება სახელშეკრულებო ურთიერთობაში, შეიძლება რეგულირებული იყოს ერთის მხრივ, სახელშეკრულებო ნორმებით და მეორეს მხრივ, დელიქტური ნორმებით, რაც იმას ნიშნავს, რომ სამედიცინო მომსახურებით პირის ჯანმრთელობისთვის მიყენებულ ზიანთან დაკავშირებულ მსგავს დავებში სახეზეა მოთხოვნის სამართლებრივ საფუძველთა კონკურენცია (ხარანაული, 2023) აღნიშნულ საკითხთან დაკავშირებით, სამეცნიერო ლიტერატურაში ჯერ კიდევ არ არის მიღწეული კონსენსუსი - ზიანის ანაზღაურების მოთხოვნის სამართლებრივ საფუძვლად გამოყენებული უნდა იქნას სახელშეკრულებო თუ დელიქტური ნორმები, ან რა კრიტერიუმებზე დაყრდნობით უნდა მოხდეს აღნიშნული მოთხოვნის საფუძველთა კონკურენციის გამიჯვნა. რაც შეეხება სასამართლოს, რომლის კომპეტენციაც არის გამოსაყენებელი სამართლის ნორმის შერჩევა, ზემოაღნიშნულ დავათა მოწესრიგებისას ძირითადად ეყრდნობა სამოქალაქო კოდექსის 1007-ე მუხლს, მაშინაც კი როცა მხარეთა შორის დადებულია ხელშეკრულება. სწორედ სასამართლოს აღნიშნულ გადაწყვეტილებათა დასაბუთებულობის შემოწმების მიზნით, წარმოდგენილი სტატიის ფარგლებში გამოკვლეულია უზენაესი სასამართლოს რამდენიმე გადაწყვეტილება, რომლებშიც განსხვავებული მიდგომებია ჩამოყალიბებული, პაციენტთან სახელშეკრულებო ურთიერთობაში მყოფი სამედიცინო მომსახურების გამწევის პასუხისმგებლობის განსაზღვრისას. კვლევის შედეგად გამოვლენიალია გარემოებები, რომელთა გათვალისწინებასაც შეუძლია ხელი შეუწყოს სამედიცინო დავებში მოთხოვნის სამართლებრივ საფუძველთა კონკურენციის საკითხთან დაკავშირებით ერთგვაროვანი, სტაბილური და დასაბუთებული მიდგომის ჩამოყალიბებას, რასაც შეუძლია საბოლოოდ დაასრულოს აღნიშნულ საკითხთან დაკავშირებული დისკუსიები; ამასთან, დავის შედეგებით დაინტერესებულ პირებს მიეცემათ შესაძლებლობა სწორად განსაზღვრონ დავის შესაძლო პერსპექტივები და სათანადოდ მოემზადონ საქმის განხილვისა და მტკიცების ტვირთის დასაძლევად.'}	0	https://journal.ciu.edu.ge/article/31	2	dict	no license
4	4	10.51298/vmj.v530i1b.6680	journal_article	KẾT QUẢ SỬ DỤNG SURFACTANT LIỀU CAO TRONG ĐIỀU TRỊ HỘI CHỨNG SUY HÔ HẤP CẤP Ở TRẺ ĐẺ NON TẠI BỆNH VIỆN NHI TRUNG ƯƠNG	{'language': None, 'text': 'Đánh giá kết quả sử dụng surfactant (alfa poractant) liều cao trong điều trị hội chứng suy hô hấp cấp ở trẻ đẻ non tại Bệnh viện Nhi trung ương từ tháng 1 năm 2020 đến 12 năm 2022. Nghiên cứu mô tả loạt ca bệnh tiến hành trên 133 trẻ đẻ non sử dụng surfactant (alpha poractant) liều 100 - 200mg/kg. Kết quả: 45 trẻ sử dụng liều thấp (33,8%) và có 88 trẻ sử dụng liều cao (66,2%). Không có sự khác biệt giữa hai nhóm trong cân nặng lúc sinh, sử dụng corticoid trước sinh, giới tính, thời điểm sử dụng surfactant ban đầu. Nhóm sử dụng liều cao có tỷ lệ sử dụng surfactant lần 2 ít hơn, biến chứng xuất huyết phổi và tràn khí màng phổi ít hơn, tỷ lệ tử vong sớm ≤72h ít hơn, thay đổi X quang ≥2 bậc lúc 6h sau dùng surfactant nhiều hơn so với nhóm sử dụng liều thấp với p<0,05. Diễn biến các chỉ số oxy, thông số máy thở, khí máu thấy nhóm sử dụng liều cao cải thiện rõ rệt sau 6 giờ sử dụng. Kết luận: Sử dụng surfactant liều cao giảm được thông số máy thở, giảm nhu cầu oxy và cải thiện khí máu, giảm được các biến chứng sớm và tử vong sớm tốt hơn liều thấp'}	0	https://tapchiyhocvietnam.vn/index.php/vmj/article/view/6680	2	dict	no license
5	5	10.54033/cadpedv21n5-110	journal_article	Tecnologias digitais e metodologias ativas na educação	{'language': None, 'text': 'Este trabalho abordou a integração de tecnologias digitais e metodologias ativas na educação, um tema de crescente importância no contexto educacional moderno. O problema central investigado foi como essas tecnologias e metodologias podem ser integradas para melhorar o ensino e a aprendizagem, enfrentando desafios como a resistência de professores e a falta de infraestrutura adequada. O objetivo geral da pesquisa foi analisar a implementação de tecnologias digitais e metodologias ativas na educação e avaliar os impactos percebidos tanto por educadores quanto por alunos. Para isso, realizou-se uma revisão bibliográfica extensa, utilizando como fontes principais os estudos recentes que discutem as implicações dessas tecnologias e práticas pedagógicas no ambiente educacional. Os resultados da análise indicaram que, embora as tecnologias digitais e as metodologias ativas ofereçam significativas oportunidades para enriquecer a experiência educacional, sua implementação efetiva ainda enfrenta numerosos desafios. Estes incluem a necessidade de desenvolvimento profissional contínuo para os educadores, a superação da resistência ao novo e a garantia de acesso equitativo às tecnologias. Através da lente dos trabalhos de Formosinho (2007), Nóvoa (1991) e Tardif (2002), é possível perceber que a integração eficaz dessas inovações pedagógicas requer mais do que apenas mudanças estruturais ou curriculares; ela exige uma transformação na maneira como os educadores percebem seu próprio processo de aprendizagem e desenvolvimento. Formosinho propõe que a pedagogia da infância deve envolver um diálogo contínuo com o passado e o futuro, enfatizando a importância da autoformação na adaptação às novas demandas educacionais. Nóvoa realça que a profissão docente deve ser vista como uma constante construção de identidade, implicando numa reflexão crítica sobre as práticas pedagógicas e na disposição para aprender ao longo da vida. Tardif complementa estas ideias ao discutir que os saberes docentes são dinâmicos e construídos na interação entre teoria e prática, ressaltando a necessidade de uma formação que seja adaptativa e responsiva às mudanças tecnológicas e metodológicas. As considerações finais destacaram a necessidade de políticas educacionais e de um comprometimento com a formação contínua dos professores para que a integração de tecnologias digitais e metodologias ativas seja bem-sucedida. Sublinhou-se também a importância de uma colaboração efetiva entre os diversos stakeholders na educação para promover um ambiente de aprendizado que seja inclusivo e eficaz. Ressalta-se, assim, a necessidade de um modelo de formação docente que não apenas ensine técnicas, mas que também fomente a autoformação, a adaptabilidade e o desenvolvimento profissional contínuo, preparando os educadores para serem agentes ativos na transformação educacional.'}	0	https://ojs.studiespublicacoes.com.br/ojs/index.php/cadped/article/view/4291	2	dict	no license
6	6	10.15407/microbiolj84.01.057	journal_article	The Role of Intestinal Microbiota and Its Recovery in COVID-19	{'language': 'en', 'text': 'Today, during the SARS-CoV-2 pandemic, when there are no clear therapeutic strategies for prevention and treatment, attention should be paid to alternative treatments, which may include the use of bacteriotherapeutic drugs based on probiotic microorganisms, i.e. representatives of the host normobiota. Experimental data show that changes in immune balance in patients with SARS-CoV-2 may be mediated by corresponding changes in the host intestinal microbiota. This statement is especially significant for the elderly, whose intestinal biota is less diverse. Especially the number of useful representative’s decreases, which leads to greater sensitivity of the older generation to SARS-CoV-2. The composition and function of the intestinal microbiota may be a potential biological mechanism responsible for the diversity of susceptibility of different groups of people to SARS-CoV-2. A bidirectional connection along the intestinelung axis due to soluble microbial metabolites transported by the bloodstream is shown. The intestinal microbiota produces many diffusing metabolites with immunomodulatory properties. Given the potential beneficial effects of bacteriotherapeutic drugs and functional foods enriched with probiotic microbiota during respiratory viral infection, their use as therapeutic agents during SARS-CoV-2 infection can be considered. Since the microbiota can be maintained using adequate, safe, and relatively inexpensive bacteriotherapeutic drugs (pro-, pre-, para-, post-, synbiotics, immunobiotics, functional foods enriched with probiotic microorganisms, etc.), their use should be considered as adjunctive therapy to limit SARS-CoV-2 progression in infected patients or as a prophylactic strategy for uninfected people at risk during the expansion of SARS-CoV-2.'}	1	http://microbiolj.org.ua/en/archiv/2022-tom-84/1-jan-feb-tom-84/2022-84-1-06/	2	dict	no license
7	7	10.37614/2307-5252.2021.2.5.045	journal_article	Structure and mechanical properties of rapidly cooled al-based alloys consolidated by high pressure torsion technique	{'language': 'en', 'text': 'The results of the structural studies and hardness measurements of the samples obtained by high pressure torsion processing of melt-spun ribbons of Al95.8Mn3.8Fe0.4 alloy are presented in the paper. It has been established that straining of the ribbons results in refinement of microstructure and in the increase of microstrain which leads to increase in microhardness by 2.2 times.'}	1	https://rio.ksc.ru/data/documents/trudy-2-2021-all.pdf#page=220	2	dict	no license
8	8	10.37934/araset.29.3.251259	journal_article	Augmented Reality (AR) as A Promotion Tool in Influencing Housing Purchase Intention	{'language': 'en', 'text': 'Contemporary rapid technological transformation demands the most optimal marketing approach to ensure organisational survival in a highly competitive business environment. Numerous studies were conducted to focus on selecting appropriate promotion tools, such as e-marketing, social media, and extended reality (XR) applications, to be applied in the current marketing methods. Nonetheless, the technological advancement availability was not thoroughly harnessed by the property sector, which lagged in adopting the innovative marketing approach to promote relevant products. Furthermore, minimal research was performed to investigate the effects of augmented reality (AR) applications in the property sector to encourage consumer purchases. The current study aims to determine the relationship between AR applications and potential house buyers’ purchase intention. Respondents were recruited based on the stipulated inclusion criteria, namely age and monthly income. A total of 130 survey booklets with housing design stimuli in the AR applications were distributed for self-completion. Resultantly, 100 completed booklets were returned. The findings revealed that AR applications possessed a significant moderate correlation with potential house buyers’ purchase intention. The results contributed additional insights into the existing marketing and consumer behaviour literature and provided several implications on the AR application potential as a property developers’ promotion tool.'}	3	https://semarakilmu.com.my/journals/index.php/applied_sciences_eng_tech/article/view/991	2	dict	no license
9	9	10.54065/dieksis.1.1.2021.47	journal_article	Hubungan Kebiasaan Membaca Terhadap Kemampuan Menulis Deskripsi (Studi Pada Mahasiswa Pendidikan Bahasa Indonesia UNCP)	{'language': None, 'text': 'Penelitian ini bertujuan mendeskripsikan Hubungan Kebiasaan Membaca terhadap Kemampuan Menulis Deskripsi Mahasiswa Prodi Pendidikan Bahasa Indonesia Universitas Cokroaminoto Palopo. Jenis penelitian ini yaitu penelitian korelasi. Lokasi atau objek penelitian ini adalah prodi pendidikan bahasa Indonesia Universitas Cokroaminoto Palopo. Hasil penelitian Hasil penelitian menunjukkan bahwa nilai rata-rata kebiasaan membaca yang diperoleh mahasiswa Prodi Pendidikan Bahasa Indonesia Universitas Cokroaminoto Palopo, yaitu 69,11, sedangkan nilai rata-rata kemampuan menulis deskripsi yang diperoleh mahasiswa Prodi Pendidikan Bahasa Indonesia Universitas Cokroaminoto Palopo, yaitu 73,57. Hasil pencapaian KKM kebiasaan membaca mahasiswa Prodi Pendidikan Bahasa Indonesia Universitas Cokroaminoto Palopo yang mendapat nilai 75 ke atas sebanyak 10 sampel (28,57%) dan mahasiswa yang mendapat nilai di bawah 75 sebanyak 25 sampel (71,42%), sedangkan hasil pencapaian KKM kemampuan menulis deskripsi mahasiswa Prodi Pendidikan Bahasa Indonesia Universitas Cokroaminoto Palopo yang mendapat nilai 75 ke atas sebanyak 13 sampel (37,14%), sedangkan mahasiswa yang mendapat nilai di bawah 75 sebanyak 22 sampel (62,85%). Hasil tersebut diperkuat dari analisis korelasi yang menyatakan perolehan rtabel untuk n = 35 dengan taraf kesalahan 5%, maka rtabel adalah 0,374, sedangkan untuk rhitung adalah 0,936. Ketentuan bila rhitung lebih kecil dari rtabel, maka H0 diterima dan H1 ditolak, tetapi bila rhitung lebih besar dari rtabel, maka H0 ditolak dan H1 diterima.'}	1	https://pusdig.my.id/dieksis/article/view/47	2	dict	no license
