Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
TKNGI2YH,conferencePaper,2024,"Braun, Marvin; Greve, Maike; Kegel, Felix; Kolbe, Lutz; Beyer, Philipp Emanuel",Can (A)I Have a Word with You? A Taxonomy on the Design Dimensions of AI Prompts,Proceedings of the 57th Hawaii International Conference on System Sciences,978-0-9981331-7-1,,10.24251/HICSS.2024.068,https://hdl.handle.net/10125/106443,,2024-01-03,2024-07-01 13:13,2025-12-03 15:34,2024-07-01 13:13,,,,,,,Can (A)I Have a Word with You?,,,,,HICSS,"Hawaii, US",eng,,,,,scholarspace.manoa.hawaii.edu,,,,/Users/poppyriddle/Zotero/storage/UZP4PVYJ/Braun et al. - 2024 - Can (A)I Have a Word with You A Taxonomy on the D.pdf,,cited; CORPUS; Human-AI interaction; Information Science; information seeking; Prompt design; prompt taxonomy; promptology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Conference on System Sciences,,,,,,,,,,,,,,,
TFN77T3T,preprint,2024,"Olla, Phillip; Elliot, Lauren; Abumeeiz, Mustapha; Pardalis, Elaina",Ask and You Shall Receive: Taxonomy of AI Prompts for Medical Education,,,,10.21203/rs.3.rs-3750487/v1,https://www.researchsquare.com/article/rs-3750487/v1,"This manuscript meticulously explores the approach for interacting with Artificial Intelligence (AI) Large Language Models (LLMs) to elicit optimal outputs. The generation of high-caliber prompts serves as a pivotal element in achieving the sought-after outcomes from these computational models. The discourse herein delineates various categories of prompts, substantiated with exemplars within each domain of application under investigation. This manuscript highlights the categories of prompts related to the particular utility of each application domain, especially accentuating their relevance to educational stakeholders such as students and educators in medical education. The Application of Learning Domains (ALDs) proposed within this article, endeavor to demarcate areas that may find the most utility from AI LLMs, facilitating knowledge dissemination, practice and training, simulated personas, and augmented interactivity across a spectrum of users in the educational milieu and beyond.",2024-01-03,2024-07-01 12:56,2025-12-03 15:42,2024-07-01 12:56,,,,,,,Ask and You Shall Receive,,,,,,,,,,,,Research Square,,ISSN: 2693-5015,,/Users/poppyriddle/Zotero/storage/BZ2MN7WN/Olla et al. - 2024 - Ask and You Shall Receive Taxonomy of AI Prompts .pdf,,6 application domains; cited; CORPUS; excellent; prompt taxonomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLMVPEGC,conferencePaper,2023,"Linzbach, Stephan; Tressel, Tim; Kallmeyer, Laura; Dietze, Stefan; Jabeen, Hajira",Decoding Prompt Syntax: Analysing its Impact on Knowledge Retrieval in Large Language Models,Companion Proceedings of the ACM Web Conference 2023,978-1-4503-9419-2,,10.1145/3543873.3587655,https://dl.acm.org/doi/10.1145/3543873.3587655,"Large Language Models (LLMs), with their advanced architectures and training on massive language datasets, contain unexplored knowledge. One method to infer this knowledge is through the use of cloze-style prompts. Typically, these prompts are manually designed because the phrasing of these prompts impacts the knowledge retrieval performance, even if the LLM encodes the desired information. In this paper, we study the impact of prompt syntax on the knowledge retrieval capacity of LLMs. We use a template-based approach to paraphrase simple prompts into prompts with a more complex grammatical structure. We then analyse the LLM performance for these structurally diferent but semantically equivalent prompts. Our study reveals that simple prompts work better than complex forms of sentences. The performance across the syntactical variations for simple relations (1:1) remains best, with a marginal decrease across diferent typologies. These results reinforce that simple prompt structures are more efective for knowledge retrieval in LLMs and motivate future research into the impact of prompt syntax on various tasks.",2023-04-30,2024-05-21 18:15,2025-12-03 15:39,2024-05-21 18:15,1145-1149,,,,,,Decoding Prompt Syntax,,,,,ACM,Austin TX USA,en,,,,,DOI.org (Crossref),,,,/Users/poppyriddle/Zotero/storage/VUX2H93E/Linzbach et al. - 2023 - Decoding Prompt Syntax Analysing its Impact on Kn.pdf,,CORE PAPER; CORPUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WWW '23: The ACM Web Conference 2023,,,,,,,,,,,,,,,
XHTXUZNZ,conferencePaper,2019,"Beltagy, Iz; Lo, Kyle; Cohan, Arman",SciBERT: A Pretrained Language Model for Scientific Text,Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP),,,10.18653/v1/D19-1371,https://aclanthology.org/D19-1371,"Obtaining large-scale annotated data for NLP tasks in the scientific domain is challenging and expensive. We release SciBERT, a pretrained language model based on BERT (Devlin et. al., 2018) to address the lack of high-quality, large-scale labeled scientific data. SciBERT leverages unsupervised pretraining on a large multi-domain corpus of scientific publications to improve performance on downstream scientific NLP tasks. We evaluate on a suite of tasks including sequence tagging, sentence classification and dependency parsing, with datasets from a variety of scientific domains. We demonstrate statistically significant improvements over BERT and achieve new state-of-the-art results on several of these tasks. The code and pretrained models are available at https://github.com/allenai/scibert/.",Nov-19,2022-06-30 15:53,2025-12-03 15:34,2022-06-30 15:53,3615–3620,,,,,,SciBERT,,,,,Association for Computational Linguistics,"Hong Kong, China",,,,,,ACLWeb,,,,/Users/poppyriddle/Zotero/storage/SEUM5X78/Beltagy et al. - 2019 - SciBERT A Pretrained Language Model for Scientifi.pdf,,CORE PAPER; CORPUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMNLP-IJCNLP 2019,,,,,,,,,,,,,,,
TL46R9CG,journalArticle,2021,"Visser, Martijn; van Eck, Nees Jan; Waltman, Ludo","Large-scale comparison of bibliographic data sources: Scopus, Web of Science, Dimensions, Crossref, and Microsoft Academic",Quantitative Science Studies,,2641-3337,10.1162/qss_a_00112,https://doi.org/10.1162/qss_a_00112,"We present a large-scale comparison of five multidisciplinary bibliographic data sources: Scopus, Web of Science, Dimensions, Crossref, and Microsoft Academic. The comparison considers scientific documents from the period 2008–2017 covered by these data sources. Scopus is compared in a pairwise manner with each of the other data sources. We first analyze differences between the data sources in the coverage of documents, focusing for instance on differences over time, differences per document type, and differences per discipline. We then study differences in the completeness and accuracy of citation links. Based on our analysis, we discuss the strengths and weaknesses of the different data sources. We emphasize the importance of combining a comprehensive coverage of the scientific literature with a flexible set of filters for making selections of the literature.",2021-04-08,2021-09-09 18:40,2025-12-03 15:30,2021-09-09 18:40,20-41,,1,2,,Quantitative Science Studies,Large-scale comparison of bibliographic data sources,,,,,,,,,,,,Silverchair,,,,"/Users/poppyriddle/Zotero/storage/TTSRFX4W/Visser et al. - 2021 - Large-scale comparison of bibliographic data sourc.pdf; /Users/poppyriddle/Zotero/storage/LJWLV6NN/Visser et al. - 2021 - Large-scale comparison of bibliographic data sources Scopus, Web of Science, Dimensions, Crossref,.pdf; /Users/poppyriddle/Zotero/storage/E3QRRHDP/Large-scale-comparison-of-bibliographic-data.html",,CORE PAPER; CORPUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9GJH3XHV,journalArticle,1968,"Merton, R. K.",The Matthew Effect in Science: The reward and communication systems of science are considered,Science,,"0036-8075, 1095-9203",10.1126/science.159.3810.56,https://www.sciencemag.org/lookup/doi/10.1126/science.159.3810.56,,1968-01-05,2021-09-09 18:32,2025-12-03 15:40,2021-09-09 18:32,56-63,,3810,159,,Science,The Matthew Effect in Science,,,,,,,en,,,,,DOI.org (Crossref),,,,,,CORPUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6V9UZN89,journalArticle,2023,"Van Noorden, Richard",ChatGPT-like AIs are coming to major science search engines,Nature,,,10.1038/d41586-023-02470-3,https://www.nature.com/articles/d41586-023-02470-3,"Scopus, Dimensions and Web of Science are introducing conversational AI search.",2023-08-02,2023-08-02 17:19,2025-12-03 15:45,2023-08-02 17:19,,,,,,,,,,,,,,en,2023 Springer Nature Limited,,,,www.nature.com,,"Bandiera_abtest: a Cg_type: News Publisher: Nature Publishing Group Subject_term: Machine learning, Databases, Research data",,/Users/poppyriddle/Zotero/storage/8Y6ARGMS/d41586-023-02470-3.html,,CORPUS,Databases; Machine learning; Research data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM2BELP3,journalArticle,2025,"Shi, Julie; Nason, Michael; Tullney, Marco; Alperin, Juan Pablo",Identifying Metadata Quality Issues Across Cultures,College & Research Libraries,,2150-6701,10.5860/crl.86.1.101,https://crl.acrl.org/index.php/crl/article/view/26625,"Metadata serve discovery and access by providing contextual, technical, and administrative information in a standard form. Yet metadata are also sites of tension between sociocultural representations, resource constraints, and standardized systems. Formal and informal interventions may be interpreted as quality issues, political acts to assert identity, or strategic choices to maximize visibility. We therefore sought to understand how metadata quality, consistency, and completeness impact individuals and communities. By reviewing a non-random sample of 427 records, we identified 32 unique issues and classified them into 5 categories to better explain how metadata and communities press up against each other to intentionally reflect (or not) cultural meanings.",2025-01-07,2024-03-13 14:33,2025-12-03 15:29,2024-03-13 14:33,101,,1,86,,,,,,,,,,en-us,"Copyright Julie Shi, Mike Nason, Marco Tullney, Juan Pablo Alperin",,,,crl.acrl.org,,Number: 1,,/Users/poppyriddle/Zotero/storage/78XHFHP6/Shi et al. - 2025 - Identifying Metadata Quality Issues Across Cultures.pdf; /Users/poppyriddle/Zotero/storage/9EXV632Z/6fykh.html; /Users/poppyriddle/Zotero/storage/BXPE58NF/Shi et al. - 2023 - Identifying Metadata Quality Issues Across Culture.pdf,,cited; CORE PAPER; CORPUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6XKVNSQZ,preprint,2023,"Alshammari, Suad; Basalelah, Lama; Rukbah, Walaa Abu; Alsuhibani, Ali; Wijesinghe, Dayanjan S.",KNIMEZoBot: Enhancing Literature Review with Zotero and KNIME OpenAI Integration using Retrieval-Augmented Generation,,,,10.48550/arXiv.2311.04310,http://arxiv.org/abs/2311.04310,"Academic researchers face challenges keeping up with exponentially growing published findings in their field. Performing comprehensive literature reviews to synthesize knowledge is time-consuming and labor-intensive using manual approaches. Recent advances in artificial intelligence provide promising solutions, yet many require coding expertise, limiting accessibility. KNIMEZoBot represents an innovative integration of Zotero, OpenAI, and the KNIME visual programming platform to automate literature review tasks for users with no coding experience. By leveraging KNIME's intuitive graphical interface, researchers can create workflows to search their Zotero libraries and utilize OpenAI models to extract key information without coding. Users simply provide API keys and configure settings through a user-friendly interface in a locally stored copy of the workflow. KNIMEZoBot then allows asking natural language questions via a chatbot and retrieves relevant passages from papers to generate synthesized answers. This system has significant potential to expedite literature reviews for researchers unfamiliar with coding by automating retrieval and analysis of publications in personal Zotero libraries. KNIMEZoBot demonstrates how thoughtfully designed AI tools can expand accessibility and accelerate knowledge building across diverse research domains.",2023-11-07,2024-04-17 12:50,2025-12-03 15:10,2024-04-17 12:50,,,,,,,KNIMEZoBot,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2311.04310 [cs],,/Users/poppyriddle/Zotero/storage/M7KAZJRM/2311.html; /Users/poppyriddle/Zotero/storage/E3QDPMRL/Alshammari et al. - 2023 - KNIMEZoBot Enhancing Literature Review with Zoter.pdf,,CORPUS,Computer Science - Human-Computer Interaction,,,,,,,,,,,,,,,,,,,arXiv:2311.04310,,,,,,,,,,,,,,,,,,,,,,,,,,,
5WTQQQD7,journalArticle,1996,"Ingwersen, Peter",Cognitive Perspectives of Information Retrieval Interaction: Elements of a Cognitive IR Theory,Journal of Documentation,,0022-0418,10.1108/eb026960,https://doi.org/10.1108/eb026960,"The objective of the paper is to amalgamate theories of text retrieval from various research traditions into a cognitive theory for information retrieval interaction. Set in a cognitive framework, the paper outlines the concept of polyrepresentation applied to both the user's cognitive space and the information space of IR systems. The concept seeks to represent the current user's information need, problem state, and domain work task or interest in a structure of causality. Further, it implies that we should apply different methods of representation and a variety of IR techniques of different cognitive and functional origin simultaneously to each semantic full‐text entity in the information space. The cognitive differences imply that by applying cognitive overlaps of information objects, originating from different interpretations of such objects through time and by type, the degree of uncertainty inherent in IR is decreased. Polyrepresentation and the use of cognitive overlaps are associated with, but not identical to, data fusion in IR. By explicitly incorporating all the cognitive structures participating in the interactive communication processes during IR, the cognitive theory provides a comprehensive view of these processes. It encompasses the ad hoc theories of text retrieval and IR techniques hitherto developed in mainstream retrieval research. It has elements in common with van Rijsbergen and Lalmas' logical uncertainty theory and may be regarded as compatible with that conception of IR. Epistemologically speaking, the theory views IR interaction as processes of cognition, potentially occurring in all the information processing components of IR, that may be applied, in particular, to the user in a situational context. The theory draws upon basic empirical results from information seeking investigations in the operational online environment, and from mainstream IR research on partial matching techniques and relevance feedback. By viewing users, source systems, intermediary mechanisms and information in a global context, the cognitive perspective attempts a comprehensive understanding of essential IR phenomena and concepts, such as the nature of information needs, cognitive inconsistency and retrieval overlaps, logical uncertainty, the concept of ‘document’, relevance measures and experimental settings. An inescapable consequence of this approach is to rely more on sociological and psychological investigative methods when evaluating systems and to view relevance in IR as situational, relative, partial, differentiated and non‐linear. The lack of consistency among authors, indexers, evaluators or users is of an identical cognitive nature. It is unavoidable, and indeed favourable to IR. In particular, for full‐text retrieval, alternative semantic entities, including Salton et al.'s ‘passage retrieval’, are proposed to replace the traditional document record as the basic retrieval entity. These empirically observed phenomena of inconsistency and of semantic entities and values associated with data interpretation support strongly a cognitive approach to IR and the logical use of polyrepresentation, cognitive overlaps, and both data fusion and data diffusion.",1996-01-01,2023-12-16 12:40,2025-12-03 15:20,2023-12-16 12:40,3-50,,1,52,,,COGNITIVE PERSPECTIVES OF INFORMATION RETRIEVAL INTERACTION,,,,,,,,,,,,Emerald Insight,,Publisher: MCB UP Ltd,,/Users/poppyriddle/Zotero/storage/Q33PUU5U/html.html,,CORPUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
